order_id,customer_id,order_date,channel,revenue
1,59,2023-10-31 20:00:00,Organic,721.07
2,353,2024-08-20 05:00:00,Affiliate,80.98
3,445,2024-02-19 13:00:00,Affiliate,40.8
4,235,2023-04-24 16:00:00,Direct,473.51
5,107,2023-12-22 22:00:00,Direct,394.2
6,191,2023-07-26 10:00:00,Organic,72.08
7,530,2024-03-17 02:00:00,Organic,120.67
8,583,2024-05-29 15:00:00,Paid,436.68
9,566,2024-12-09 20:00:00,Paid,99.62
10,245,2023-05-05 09:00:00,Organic,687.89
11,76,2023-12-05 03:00:00,Direct,250.61
12,547,2024-07-26 18:00:00,Organic,482.62
13,267,2024-11-13 01:00:00,Organic,451.48
14,317,2023-03-15 10:00:00,Organic,380.55
15,121,2024-10-26 19:00:00,Direct,177.83
16,25,2023-02-17 18:00:00,Paid,66.32
17,432,2024-10-12 13:00:00,Direct,529.63
18,160,2024-11-25 04:00:00,Organic,844.94
19,596,2023-07-10 04:00:00,Paid,283.33
20,114,2024-07-16 20:00:00,Direct,68.65
21,502,2024-07-15 03:00:00,Organic,494.41
22,166,2023-04-23 09:00:00,Organic,19.23
23,175,2024-04-12 05:00:00,Direct,190.71
24,1,2023-01-14 10:00:00,Direct,291.46
25,86,2023-10-15 10:00:00,Email,283.61
26,574,2023-07-08 17:00:00,Organic,107.69
27,320,2023-06-04 22:00:00,Email,1206.04
28,401,2024-11-24 17:00:00,Organic,135.64
29,382,2024-04-15 10:00:00,Organic,127.89
30,318,2023-10-04 11:00:00,Organic,681.87
31,250,2024-10-06 22:00:00,Organic,163.17
32,525,2024-02-29 08:00:00,Organic,197.74
33,555,2023-07-01 09:00:00,Organic,58.12
34,256,2023-03-05 06:00:00,Organic,63.92
35,307,2023-09-17 00:00:00,Direct,143.08
36,144,2024-10-16 07:00:00,Direct,313.46
37,391,2024-02-10 21:00:00,Organic,56.24
38,169,2024-12-21 13:00:00,Organic,40.3
39,298,2024-10-15 17:00:00,Paid,320.96
40,233,2024-02-08 17:00:00,Affiliate,35.07
41,271,2023-04-22 00:00:00,Organic,74.32
42,60,2024-01-10 10:00:00,Direct,79.93
43,296,2023-07-26 11:00:00,Organic,277.89
44,467,2023-10-23 21:00:00,Affiliate,266.61
45,235,2024-06-15 05:00:00,Direct,484.02
46,234,2024-10-04 23:00:00,Paid,797.49
47,368,2023-03-31 12:00:00,Organic,594.98
48,232,2024-03-13 10:00:00,Direct,45.14
49,491,2023-05-30 19:00:00,Organic,67.16
50,503,2023-01-08 07:00:00,Direct,578.34
51,592,2024-12-21 19:00:00,Affiliate,413.1
52,381,2024-09-19 22:00:00,Organic,808.25
53,428,2023-05-24 13:00:00,Organic,121.48
54,364,2024-06-02 15:00:00,Organic,688.61
55,202,2023-02-14 14:00:00,Paid,33.17
56,146,2023-06-04 20:00:00,Organic,66.68
57,457,2023-08-03 23:00:00,Direct,253.18
58,135,2023-09-13 08:00:00,Organic,913.65
59,264,2023-06-28 19:00:00,Direct,173.1
60,64,2023-08-22 16:00:00,Paid,432.9
61,491,2023-08-11 22:00:00,Direct,277.49
62,41,2023-09-21 14:00:00,Organic,571.32
63,296,2024-08-29 20:00:00,Direct,634.03
64,3,2024-01-01 19:00:00,Email,1335.76
65,110,2024-01-15 06:00:00,Organic,265.84
66,221,2023-11-05 22:00:00,Organic,70.08
67,370,2023-09-25 16:00:00,Email,565.79
68,368,2023-03-05 09:00:00,Organic,306.83
69,436,2023-12-16 18:00:00,Email,360.95
70,4,2024-05-08 10:00:00,Direct,61.33
71,244,2023-04-08 17:00:00,Organic,326.03
72,166,2023-03-12 11:00:00,Paid,67.2
73,26,2024-07-23 01:00:00,Affiliate,364.75
74,395,2023-10-03 17:00:00,Organic,283.18
