session_id,customer_id,session_date,source,medium,device,is_variant_B,converted
1,587,2024-12-24 15:00:00,Email,Direct,desktop,0,0
2,257,2024-05-31 06:00:00,Google,CPC,desktop,1,0
3,234,2024-10-26 21:00:00,Direct,Email,desktop,0,0
4,152,2023-11-13 15:00:00,Referral,Organic,desktop,0,0
5,563,2023-06-30 11:00:00,Direct,Organic,mobile,0,0
6,327,2023-07-10 00:00:00,Facebook,Social,desktop,1,0
7,477,2023-09-14 06:00:00,Email,CPC,mobile,1,1
8,562,2023-05-11 08:00:00,Google,Organic,mobile,1,0
9,266,2024-11-22 13:00:00,Email,Organic,desktop,1,0
10,567,2023-11-20 04:00:00,Direct,Organic,desktop,1,0
11,31,2024-11-03 17:00:00,Facebook,CPC,mobile,0,0
12,268,2023-11-11 02:00:00,Referral,CPC,mobile,1,0
13,68,2023-02-25 19:00:00,Referral,Organic,desktop,1,0
14,458,2024-07-25 04:00:00,Google,Organic,mobile,0,0
15,364,2024-03-10 17:00:00,Facebook,Direct,mobile,1,0
16,438,2023-06-12 03:00:00,Google,Organic,mobile,0,0
17,448,2024-05-21 23:00:00,Direct,CPC,desktop,0,0
18,243,2024-05-01 21:00:00,Referral,Social,desktop,1,0
19,439,2024-07-17 21:00:00,Google,Email,mobile,0,0
20,561,2024-08-07 04:00:00,Direct,Email,mobile,0,0
21,307,2024-03-18 15:00:00,Google,Direct,mobile,0,0
22,335,2024-05-26 01:00:00,Email,Direct,desktop,1,0
23,150,2024-06-14 14:00:00,Facebook,Direct,desktop,0,0
24,403,2023-06-08 23:00:00,Direct,Email,desktop,0,0
25,63,2023-07-01 00:00:00,Facebook,Email,desktop,0,0
26,392,2023-05-12 09:00:00,Referral,Organic,desktop,0,0
27,399,2023-04-26 13:00:00,Email,Email,desktop,1,0
28,24,2023-10-19 03:00:00,Google,Social,tablet,1,0
29,242,2023-04-09 20:00:00,Email,Direct,desktop,0,0
30,590,2023-02-07 03:00:00,Facebook,Direct,desktop,1,0
31,570,2024-12-13 11:00:00,Direct,Direct,mobile,1,0
32,429,2024-03-01 11:00:00,Referral,Direct,mobile,0,0
33,520,2023-08-13 14:00:00,Direct,Organic,desktop,1,0
34,75,2023-06-23 00:00:00,Facebook,Direct,mobile,0,0
35,41,2024-01-13 05:00:00,Referral,Organic,mobile,0,0
36,592,2023-07-23 01:00:00,Email,CPC,mobile,0,0
37,152,2023-06-14 09:00:00,Referral,CPC,desktop,0,0
38,108,2024-10-16 21:00:00,Email,CPC,desktop,0,0
39,600,2023-09-04 16:00:00,Direct,Social,mobile,0,0
40,194,2024-01-01 07:00:00,Google,Direct,desktop,1,0
41,24,2023-06-29 06:00:00,Email,Email,desktop,0,0
42,285,2023-08-11 10:00:00,Google,Email,mobile,1,1
43,16,2023-08-21 19:00:00,Referral,CPC,mobile,0,0
44,54,2023-11-05 16:00:00,Direct,CPC,desktop,1,0
45,453,2024-04-27 20:00:00,Referral,Direct,desktop,0,0
46,231,2023-07-04 16:00:00,Facebook,CPC,tablet,1,0
47,277,2023-01-21 07:00:00,Referral,Organic,tablet,1,0
48,285,2023-12-09 13:00:00,Facebook,Direct,mobile,1,0
49,294,2024-06-09 20:00:00,Email,Email,mobile,1,0
50,503,2023-01-02 17:00:00,Direct,Direct,desktop,0,0
51,365,2023-11-05 18:00:00,Facebook,CPC,desktop,1,0
52,321,2024-11-11 18:00:00,Referral,Organic,desktop,0,0
53,556,2024-02-26 15:00:00,Google,Email,desktop,1,0
54,53,2023-01-16 08:00:00,Direct,Direct,desktop,1,0
55,233,2024-01-31 01:00:00,Email,Direct,desktop,1,0
56,279,2024-12-07 19:00:00,Email,Organic,desktop,0,0
57,432,2023-08-26 11:00:00,Google,CPC,desktop,1,0
58,381,2024-07-03 11:00:00,Referral,Email,mobile,1,1
59,361,2024-05-31 14:00:00,Referral,CPC,desktop,0,0
60,222,2024-07-31 18:00:00,Email,CPC,desktop,1,0
61,219,2023-05-27 22:00:00,Direct,Organic,tablet,0,0
62,333,2023-08-24 13:00:00,Direct,Direct,tablet,0,0
63,534,2024-12-16 15:00:00,Facebook,Email,desktop,1,0
64,547,2023-12-24 00:00:00,Google,Email,mobile,0,0
65,293,2024-06-10 07:00:00,Facebook,CPC,mobile,1,0
66,219,2024-12-17 08:00:00,Email,Social,mobile,1,0
67,348,2024-10-06 13:00:00,Referral,Email,desktop,0,0
68,247,2023-03-04 18:00:00,Facebook,Organic,desktop,0,0
69,444,2023-03-29 18:00:00,Facebook,Social,tablet,0,0
70,446,2023-03-22 03:00:00,Email,Social,mobile,0,1
71,58,2023-06-04 10:00:00,Direct,Social,desktop,0,1
72,430,2024-09-13 18:00:00,Google,Organic,desktop,0,0
73,265,2024-06-25 16:00:00,Referral,Direct,mobile,1,0
74,176,2024-10-03 14:00:00,Facebook,Email,desktop,1,0
75,74,2023-10-22 03:00:00,Referral,CPC,mobile,1,0
76,259,2023-05-28 15:00:00,Direct,Email,desktop,0,0
77,21,2023-05-08 18:00:00,Direct,Direct,desktop,0,0
78,41,2024-10-13 21:00:00,Facebook,Organic,mobile,0,0
79,501,2023-10-07 07:00:00,Referral,Email,mobile,0,0
80,340,2023-02-25 19:00:00,Email,Organic,desktop,0,0
81,379,2023-04-02 11:00:00,Direct,Organic,mobile,1,0
82,193,2024-06-17 21:00:00,Referral,Social,mobile,1,0
83,393,2024-02-27 23:00:00,Email,Email,desktop,1,0
