ticket_id,customer_id,opened_at,closed_at,priority
1,1,2023-03-06 17:00:00,2023-03-07 07:32:24.459717,Medium
2,2,2023-09-25 18:00:00,2023-09-26 07:09:39.552010,High
3,2,2023-09-17 15:00:00,2023-09-17 16:49:30.259789,Low
4,2,2023-09-09 03:00:00,2023-09-09 03:42:59.343765,Low
5,2,2024-08-02 20:00:00,2024-08-03 01:01:06.711993,Low
6,3,2023-10-08 22:00:00,2023-10-09 11:38:40.957543,Low
7,4,2023-11-26 06:00:00,2023-11-26 08:19:06.122476,Low
8,5,2023-03-22 19:00:00,2023-03-24 02:50:09.223275,Low
9,5,2023-05-02 19:00:00,2023-05-03 15:10:20.435897,Medium
10,6,2023-02-01 06:00:00,2023-02-02 13:07:01.287760,Low
11,6,2023-03-20 11:00:00,2023-03-20 13:00:08.214538,Low
12,6,2023-06-01 00:00:00,2023-06-01 15:37:00.827436,Low
13,6,2024-01-01 21:00:00,2024-01-02 22:38:05.175461,Low
14,6,2024-08-28 10:00:00,2024-08-28 20:54:39.759197,Low
15,9,2023-01-11 13:00:00,2023-01-13 01:13:54.681821,High
16,10,2023-04-11 10:00:00,2023-04-13 18:14:37.248370,Medium
17,10,2023-06-11 17:00:00,2023-06-12 10:16:50.424134,High
18,11,2023-05-06 11:00:00,2023-05-07 04:56:37.023297,Low
19,11,2023-05-18 14:00:00,2023-05-19 09:14:01.366988,Low
20,12,2023-06-21 11:00:00,2023-06-21 12:14:20.273655,Low
21,12,2023-10-11 12:00:00,2023-10-12 12:01:39.978140,Low
22,13,2023-01-11 02:00:00,2023-01-12 04:57:33.215845,Low
23,14,2023-03-13 06:00:00,2023-03-13 17:55:42.322984,Low
24,17,2023-03-12 10:00:00,2023-03-12 22:01:18.568888,High
25,17,2023-04-28 07:00:00,2023-04-28 22:24:10.504273,Medium
26,17,2023-05-25 00:00:00,2023-05-25 03:15:38.245689,Medium
27,17,2023-05-13 00:00:00,2023-05-13 00:30:00.000000,Low
28,17,2023-06-06 16:00:00,2023-06-10 04:34:07.725316,Medium
29,17,2023-10-01 17:00:00,2023-10-02 12:06:32.314788,Low
30,19,2023-03-06 16:00:00,2023-03-08 01:55:19.283326,Medium
31,19,2023-04-16 05:00:00,2023-04-16 07:30:59.521976,Medium
32,19,2023-04-22 11:00:00,2023-04-23 21:04:16.707559,Low
33,19,2023-07-05 02:00:00,2023-07-05 02:50:38.870208,Low
34,19,2023-10-26 00:00:00,2023-10-26 19:34:56.630892,Medium
35,21,2023-05-11 17:00:00,2023-05-13 03:49:58.894133,Medium
36,22,2023-01-26 18:00:00,2023-01-28 12:53:01.447914,High
37,24,2023-02-03 18:00:00,2023-02-04 14:56:37.084325,Low
38,24,2023-03-22 19:00:00,2023-03-22 23:18:38.414015,Low
39,24,2023-04-03 19:00:00,2023-04-05 05:01:39.697073,Medium
40,25,2023-03-06 13:00:00,2023-03-07 05:16:55.428194,Low
41,26,2023-07-24 13:00:00,2023-07-25 10:08:21.510238,High
42,26,2023-09-18 17:00:00,2023-09-18 19:02:19.645816,Medium
43,26,2023-10-09 10:00:00,2023-10-09 10:30:00.000000,Low
44,26,2023-10-22 21:00:00,2023-10-22 22:11:42.053975,Low
45,26,2023-10-28 05:00:00,2023-10-29 11:47:49.485683,Medium
46,26,2023-11-08 16:00:00,2023-11-09 08:23:39.945818,Low
47,27,2023-06-07 13:00:00,2023-06-07 13:42:12.645142,High
48,29,2023-01-04 21:00:00,2023-01-05 21:18:48.878248,Low
49,31,2023-02-01 17:00:00,2023-02-01 17:30:00.000000,Low
50,33,2023-01-12 11:00:00,2023-01-12 16:53:02.304446,Low
51,33,2023-08-22 20:00:00,2023-08-23 06:00:50.071105,Low
52,34,2023-07-06 10:00:00,2023-07-07 13:23:59.153491,Low
53,35,2023-01-20 02:00:00,2023-01-21 11:36:12.859636,High
54,38,2023-05-20 02:00:00,2023-05-21 14:45:59.880584,High
55,38,2023-06-03 21:00:00,2023-06-03 23:28:12.762098,Low
56,38,2023-10-02 00:00:00,2023-10-02 22:05:51.731568,Medium
57,39,2023-03-08 12:00:00,2023-03-08 15:58:32.006467,Low
58,39,2023-04-25 07:00:00,2023-04-25 13:02:06.156258,Medium
59,39,2023-06-12 09:00:00,2023-06-12 17:41:53.191452,Medium
60,41,2023-02-05 19:00:00,2023-02-05 21:37:09.410309,Medium
61,41,2023-04-27 02:00:00,2023-04-27 04:54:59.267670,Low
62,41,2023-04-02 18:00:00,2023-04-03 10:57:33.843782,Medium
63,41,2023-08-16 00:00:00,2023-08-16 11:13:20.105836,Low
64,41,2023-09-14 18:00:00,2023-09-15 00:23:05.010645,Low
65,41,2023-12-11 06:00:00,2023-12-11 06:43:57.326900,Medium
66,41,2024-01-04 15:00:00,2024-01-11 02:42:42.577383,High
67,41,2024-02-17 23:00:00,2024-02-18 06:30:43.035098,Medium
68,41,2024-08-23 12:00:00,2024-08-24 04:30:32.649883,Low
69,44,2023-10-17 18:00:00,2023-10-18 10:02:49.450252,High
70,45,2023-01-07 20:00:00,2023-01-09 04:33:53.698167,Low
71,46,2023-09-18 02:00:00,2023-09-19 12:25:10.978493,Low
72,46,2023-10-10 07:00:00,2023-10-11 06:37:35.973477,Medium
73,46,2024-04-26 09:00:00,2024-04-27 02:40:48.815453,Low
74,46,2024-07-22 00:00:00,2024-07-22 09:09:54.247646,High
75,48,2023-03-24 04:00:00,2023-03-26 01:19:05.044019,Low
76,48,2023-08-23 07:00:00,2023-08-23 18:22:38.295504,Low
77,49,2023-01-04 04:00:00,2023-01-04 06:49:20.731584,Low
78,49,2023-07-01 22:00:00,2023-07-02 21:17:02.349093,Low
79,49,2024-01-23 12:00:00,2024-01-23 21:36:19.672565,Low
80,49,2024-02-10 18:00:00,2024-02-11 15:28:46.051446,Low
81,49,2024-02-28 20:00:00,2024-02-29 08:23:43.880950,High
82,50,2023-02-10 20:00:00,2023-02-11 00:27:55.701130,High
83,50,2023-05-15 18:00:00,2023-05-16 00:29:58.627101,Medium
84,51,2023-05-19 23:00:00,2023-05-21 03:27:41.623986,Medium
85,52,2023-08-08 18:00:00,2023-08-09 16:51:33.110107,Low
86,52,2023-09-27 02:00:00,2023-09-28 17:56:04.547375,Medium
87,52,2023-10-08 14:00:00,2023-10-09 03:43:17.875854,Low
88,52,2023-12-28 08:00:00,2023-12-30 16:56:02.707184,Medium
89,52,2024-07-23 05:00:00,2024-07-24 01:18:09.556671,Medium
90,54,2023-03-23 14:00:00,2023-03-23 17:12:14.961348,Low
91,54,2024-04-10 14:00:00,2024-04-11 13:21:26.963682,Medium
92,54,2024-08-19 05:00:00,2024-08-20 02:36:31.976490,Low
93,56,2023-02-04 17:00:00,2023-02-04 23:49:47.257652,Low
94,56,2023-06-13 04:00:00,2023-06-13 21:02:39.574463,Medium
95,56,2023-08-25 03:00:00,2023-08-26 06:56:14.943173,Low
96,56,2023-08-24 18:00:00,2023-08-24 20:37:49.194439,Low
97,56,2024-03-27 10:00:00,2024-03-28 11:32:43.812727,Medium
98,60,2023-03-10 13:00:00,2023-03-11 12:19:03.355849,Low
99,60,2023-06-13 12:00:00,2023-06-13 12:30:00.000000,Medium
100,60,2023-10-08 17:00:00,2023-10-09 13:36:45.903810,Medium
101,60,2024-05-10 22:00:00,2024-05-11 05:59:14.045440,Low
102,61,2023-02-28 09:00:00,2023-02-28 18:36:44.609438,Medium
103,61,2023-03-17 19:00:00,2023-03-17 21:25:03.972597,Medium
104,61,2023-05-26 05:00:00,2023-05-26 08:06:05.573092,Low
105,61,2023-07-28 11:00:00,2023-07-30 15:02:44.854250,Medium
106,61,2024-03-15 00:00:00,2024-03-15 01:49:52.302441,Medium
107,61,2024-08-13 00:00:00,2024-08-14 00:25:31.927521,Medium
108,62,2023-02-17 09:00:00,2023-02-18 15:48:18.701435,Low
109,62,2023-07-27 19:00:00,2023-07-28 21:13:55.474972,Medium
110,62,2023-11-20 19:00:00,2023-11-21 17:12:13.566933,High
111,63,2023-04-13 08:00:00,2023-04-13 18:59:50.833990,High
112,63,2023-06-19 07:00:00,2023-06-21 07:09:01.029538,Medium
113,63,2023-10-22 16:00:00,2023-10-23 10:26:52.253544,Medium
114,63,2024-02-04 08:00:00,2024-02-04 21:38:27.514476,Medium
115,63,2024-02-10 21:00:00,2024-02-10 21:55:30.166331,Low
116,63,2024-04-13 16:00:00,2024-04-13 17:22:03.880895,Low
117,63,2024-08-22 03:00:00,2024-08-24 00:20:43.836268,Low
118,64,2023-04-27 05:00:00,2023-04-27 21:21:45.536724,High
119,64,2023-07-23 17:00:00,2023-07-23 17:30:00.000000,Low
120,65,2023-03-08 10:00:00,2023-03-09 01:44:13.579735,Medium
121,65,2023-07-22 12:00:00,2023-07-23 09:07:37.954915,Low
122,65,2023-09-14 03:00:00,2023-09-17 04:33:51.488017,High
123,65,2024-03-04 10:00:00,2024-03-06 00:09:38.416329,Low
124,66,2023-03-26 16:00:00,2023-03-29 17:28:53.652586,Medium
125,67,2023-03-28 06:00:00,2023-03-28 14:30:09.851156,Low
126,67,2023-03-05 22:00:00,2023-03-06 00:37:43.111227,Medium
127,67,2023-03-07 19:00:00,2023-03-08 09:34:44.146494,Medium
128,67,2023-05-24 12:00:00,2023-05-24 21:01:47.887939,Low
129,67,2023-08-21 05:00:00,2023-08-21 12:47:02.105647,High
130,68,2023-07-20 04:00:00,2023-07-21 00:38:11.461705,High
131,68,2023-12-25 09:00:00,2023-12-27 13:39:46.568057,Low
132,71,2023-03-09 19:00:00,2023-03-10 18:49:39.308605,Medium
133,72,2023-05-01 11:00:00,2023-05-01 13:36:51.440548,Low
134,73,2023-01-23 01:00:00,2023-01-23 21:57:22.822681,Low
135,75,2023-09-07 07:00:00,2023-09-07 23:47:44.638387,Medium
136,75,2024-08-12 13:00:00,2024-08-14 06:19:46.989052,Low
137,76,2023-03-08 18:00:00,2023-03-09 13:05:55.388678,Medium
138,76,2023-05-01 05:00:00,2023-05-02 09:32:40.388914,Low
139,76,2023-09-09 14:00:00,2023-09-10 03:43:54.901957,Low
140,76,2023-11-02 23:00:00,2023-11-04 02:56:03.769599,High
141,76,2024-02-21 12:00:00,2024-02-21 14:42:41.806968,Medium
142,76,2024-07-19 17:00:00,2024-07-20 18:35:41.519799,Low
143,76,2024-07-18 03:00:00,2024-07-18 06:42:53.595446,Low
144,79,2023-01-17 13:00:00,2023-01-19 15:57:09.773222,Low
145,79,2023-05-20 22:00:00,2023-05-21 10:38:54.318501,High
146,79,2024-05-23 09:00:00,2024-05-25 13:23:39.964846,Medium
147,79,2024-08-25 01:00:00,2024-08-25 07:42:10.332573,Medium
148,80,2023-01-02 12:00:00,2023-01-03 16:17:44.685508,Medium
149,81,2023-02-19 11:00:00,2023-02-20 13:29:57.912936,Medium
150,82,2023-12-25 19:00:00,2023-12-30 18:08:36.275003,Medium
151,83,2023-01-18 16:00:00,2023-01-19 06:12:27.142599,Low
152,84,2023-01-25 09:00:00,2023-01-26 11:32:06.068645,High
153,84,2023-04-23 17:00:00,2023-04-23 20:19:19.322041,Medium
154,85,2023-02-13 21:00:00,2023-02-14 06:29:46.304515,Low
155,86,2023-03-18 00:00:00,2023-03-18 20:10:05.974178,High
156,86,2023-04-19 03:00:00,2023-04-21 05:37:58.288085,High
157,86,2023-11-07 07:00:00,2023-11-08 07:50:53.416644,Medium
158,86,2024-01-25 09:00:00,2024-01-25 09:45:09.654222,Low
159,87,2023-02-02 23:00:00,2023-02-04 03:06:50.955158,Medium
160,90,2023-03-23 08:00:00,2023-03-23 19:16:56.848036,Low
161,90,2023-03-24 06:00:00,2023-03-25 01:20:50.047371,Low
162,90,2023-08-03 02:00:00,2023-08-03 08:38:37.788319,Medium
163,90,2023-12-11 01:00:00,2023-12-11 05:55:52.331504,Low
164,91,2023-02-27 21:00:00,2023-02-27 23:36:32.053343,Medium
165,91,2023-03-17 02:00:00,2023-03-17 03:29:12.280167,Medium
166,91,2023-03-22 22:00:00,2023-03-23 12:10:47.881826,Medium
167,91,2023-05-26 01:00:00,2023-05-26 03:13:01.466721,Medium
168,91,2023-07-24 22:00:00,2023-07-25 02:51:26.449223,High
