customer_id,month,events,minutes_used,feature_X_used
1,2023-01-01,124,681,34
1,2023-02-01,83,216,24
1,2023-03-01,111,556,35
1,2023-04-01,128,614,39
1,2023-05-01,53,267,10
2,2023-01-01,170,433,54
2,2023-02-01,152,659,48
2,2023-03-01,104,727,36
2,2023-04-01,108,399,32
2,2023-05-01,176,503,64
2,2023-06-01,154,426,54
2,2023-07-01,81,395,26
2,2023-08-01,155,731,43
2,2023-09-01,149,737,44
2,2023-10-01,158,253,40
2,2023-11-01,67,266,22
2,2023-12-01,142,347,43
2,2024-01-01,207,362,60
2,2024-02-01,144,501,41
2,2024-03-01,12,564,3
2,2024-04-01,129,462,45
2,2024-05-01,0,637,0
2,2024-06-01,180,672,47
2,2024-07-01,143,546,45
2,2024-08-01,192,269,52
3,2023-01-01,126,473,40
3,2023-02-01,102,260,37
3,2023-03-01,196,675,62
3,2023-04-01,210,449,62
3,2023-05-01,28,468,9
3,2023-06-01,79,450,29
3,2023-07-01,115,538,42
3,2023-08-01,110,301,37
3,2023-09-01,158,811,43
3,2023-10-01,98,700,34
3,2023-11-01,117,497,25
3,2023-12-01,174,386,56
3,2024-01-01,58,429,23
4,2023-01-01,13,544,1
4,2023-02-01,210,546,57
4,2023-03-01,183,125,56
4,2023-04-01,136,260,37
4,2023-05-01,111,488,34
4,2023-06-01,141,135,41
4,2023-07-01,101,332,36
4,2023-08-01,131,369,38
4,2023-09-01,182,412,40
4,2023-10-01,129,660,42
4,2023-11-01,129,868,32
4,2023-12-01,101,403,32
4,2024-01-01,219,446,65
4,2024-02-01,134,209,44
4,2024-03-01,71,485,23
4,2024-04-01,116,652,35
4,2024-05-01,190,504,50
4,2024-06-01,64,543,14
4,2024-07-01,182,295,56
5,2023-01-01,61,314,19
5,2023-02-01,13,529,1
5,2023-03-01,153,549,39
5,2023-04-01,157,561,38
5,2023-05-01,124,517,37
5,2023-06-01,171,190,44
5,2023-07-01,69,796,21
5,2023-08-01,88,386,25
5,2023-09-01,92,466,28
5,2023-10-01,95,739,31
6,2023-01-01,182,98,64
6,2023-02-01,178,566,63
6,2023-03-01,126,343,41
6,2023-04-01,202,467,64
6,2023-05-01,128,351,34
6,2023-06-01,146,633,32
6,2023-07-01,0,674,1
6,2023-08-01,192,521,44
6,2023-09-01,108,661,29
6,2023-10-01,73,530,22
6,2023-11-01,24,401,9
6,2023-12-01,153,550,46
6,2024-01-01,84,703,18
6,2024-02-01,226,478,67
6,2024-03-01,127,393,44
6,2024-04-01,175,907,63
6,2024-05-01,47,509,15
6,2024-06-01,128,542,37
6,2024-07-01,32,815,8
6,2024-08-01,75,155,23
7,2023-01-01,86,375,22
7,2023-02-01,106,545,38
7,2023-03-01,56,385,21
8,2023-01-01,163,169,38
8,2023-02-01,7,451,2
8,2023-03-01,213,407,71
9,2023-01-01,193,498,57
9,2023-02-01,248,458,78
9,2023-03-01,106,620,28
9,2023-04-01,96,624,31
9,2023-05-01,122,993,32
9,2023-06-01,230,466,69
9,2023-07-01,157,575,40
10,2023-01-01,196,439,61
10,2023-02-01,112,322,30
10,2023-03-01,261,718,82
10,2023-04-01,140,0,42
